system:index,B2,B3,B4,B8,B11,ndvi,ndwi,classification,landcover
1_1_1_0_0_0,0.0207,0.0275,0.0141,0.0092,0.0021,-0.21030043,0.49863762,1,1
1_1_1_0_4_0,0.0186,0.0276,0.0135,0.0093,0.0021,-0.18421052,0.49593496,1,1
1_1_1_0_5_0,0.0186,0.0276,0.0135,0.0093,0.0021,-0.18421052,0.49593496,1,1
1_1_1_0_7_0,0.0193,0.0279,0.0135,0.0093,0.0021,-0.18421052,0.5,1,1
1_1_1_0_8_0,0.0205,0.0279,0.0146,0.0094,0.0021,-0.21666667,0.49597856,1,1
1_1_1_0_9_0,0.0205,0.0279,0.0146,0.0094,0.0021,-0.21666667,0.49597856,1,1
1_1_1_0_11_0,0.0191,0.0287,0.0147,0.0098,0.0021,-0.2,0.4909091,1,1
1_1_1_0_13_0,0.0206,0.0287,0.0147,0.0089,0.0021,-0.2457627,0.5265958,1,1
1_1_1_0_20_0,0.0189,0.0276,0.0135,0.0088,0.0021,-0.21076234,0.51648355,1,1
1_1_1_0_21_0,0.0189,0.0276,0.0135,0.0088,0.0021,-0.21076234,0.51648355,1,1
1_1_1_0_25_0,0.0198,0.0282,0.0137,0.0086,0.002,-0.22869955,0.5326087,1,1
1_1_1_0_34_0,0.0198,0.0272,0.0136,0.0085,0.0021,-0.23076923,0.52380955,1,1
1_1_1_0_41_0,0.02,0.0272,0.014,0.0086,0.0021,-0.23893805,0.51955307,1,1
1_1_1_0_43_0,0.0196,0.0277,0.0148,0.0086,0.0021,-0.26495728,0.5261708,1,1
1_1_1_0_46_0,0.0197,0.0279,0.0142,0.0086,0.0021,-0.24561404,0.5287671,1,1
1_1_1_0_49_0,0.0183,0.0269,0.0134,0.0085,0.0022,-0.22374429,0.519774,1,1
1_1_1_0_52_0,0.0189,0.0273,0.0139,0.0087,0.0021,-0.2300885,0.51666665,1,1
1_1_1_0_55_0,0.0187,0.0271,0.0136,0.0087,0.0024,-0.21973094,0.5139665,1,1
1_1_1_0_56_0,0.0188,0.0274,0.0136,0.0094,0.0021,-0.1826087,0.48913044,1,1
1_1_1_0_59_0,0.019,0.0279,0.0143,0.0086,0.0021,-0.2489083,0.5287671,1,1
1_1_1_0_61_0,0.0186,0.028,0.014,0.0089,0.0021,-0.22270742,0.5176152,1,1
1_1_1_0_64_0,0.0189,0.0271,0.0137,0.0085,0.0016,-0.23423423,0.5224719,1,1
1_1_1_0_65_0,0.0184,0.0265,0.0139,0.0085,0.0018,-0.24107143,0.51428574,1,1
1_1_1_0_72_0,0.0185,0.0274,0.0136,0.0099,0.0021,-0.1574468,0.4691689,1,1
1_1_1_0_74_0,0.0192,0.0274,0.0136,0.0094,0.0025,-0.1826087,0.48913044,1,1
1_1_1_0_79_0,0.0191,0.0276,0.014,0.0088,0.0021,-0.22807017,0.51648355,1,1
1_1_1_0_85_0,0.0194,0.0269,0.014,0.0098,0.0021,-0.1764706,0.46594006,1,1
1_1_1_0_91_0,0.0189,0.0271,0.0137,0.0097,0.0027,-0.17094018,0.4728261,1,1
1_1_1_0_92_0,0.0192,0.027,0.0143,0.0089,0.0024,-0.23275863,0.5041783,1,1
1_1_1_0_93_0,0.0191,0.0268,0.014,0.0091,0.002,-0.21212122,0.4930362,1,1
1_1_1_0_95_0,0.019,0.0271,0.014,0.0091,0.0021,-0.21212122,0.49723756,1,1
1_1_1_0_97_0,0.019,0.0273,0.0139,0.0093,0.0016,-0.19827586,0.4918033,1,1
1_1_1_0_102_0,0.0196,0.0264,0.014,0.0095,0.0021,-0.19148937,0.4707521,1,1
1_1_1_0_104_0,0.0196,0.0273,0.0134,0.0096,0.0018,-0.16521738,0.4796748,1,1
1_1_1_0_106_0,0.0182,0.0267,0.0135,0.0094,0.0025,-0.1790393,0.47922438,1,1
1_1_1_0_112_0,0.0198,0.0269,0.0131,0.0095,0.0015,-0.15929204,0.47802198,1,1
1_1_1_0_115_0,0.0182,0.0274,0.0137,0.0093,0.0018,-0.19130434,0.49318802,1,1
1_1_1_0_116_0,0.0187,0.0274,0.0136,0.0092,0.0022,-0.19298245,0.49726775,1,1
1_1_1_0_117_0,0.019,0.0273,0.0135,0.0086,0.0021,-0.22171946,0.52089137,1,1
1_1_1_0_120_0,0.019,0.0266,0.0137,0.0092,0.0021,-0.19650654,0.48603353,1,1
1_1_1_0_123_0,0.0181,0.0267,0.0138,0.0091,0.0024,-0.20524018,0.49162012,1,1
1_1_1_0_127_0,0.0195,0.0277,0.014,0.0089,0.0021,-0.22270742,0.5136612,1,1
1_1_1_1_4_0,0.0183,0.0242,0.0127,0.0058,0.0024,-0.37297297,0.61333334,1,1
1_1_1_1_6_0,0.0185,0.0251,0.0126,0.0059,0.0024,-0.36216217,0.61935484,1,1
1_1_1_1_9_0,0.0175,0.0248,0.0128,0.0059,0.0026,-0.36898395,0.61563516,1,1
1_1_1_1_10_0,0.0177,0.025,0.0121,0.0059,0.003,-0.34444445,0.618123,1,1
1_1_1_1_12_0,0.0182,0.0233,0.0129,0.0059,0.0024,-0.3723404,0.5958904,1,1
1_1_1_1_14_0,0.0182,0.0247,0.0123,0.006,0.0024,-0.3442623,0.60912055,1,1
1_1_1_1_16_0,0.0172,0.0232,0.0118,0.0053,0.0028,-0.38011697,0.6280702,1,1
1_1_1_1_23_0,0.0187,0.0254,0.013,0.0057,0.0024,-0.39037433,0.6334405,1,1
1_1_1_1_27_0,0.0179,0.0248,0.0123,0.0058,0.0024,-0.35911602,0.62091506,1,1
1_1_1_1_28_0,0.0187,0.0248,0.0133,0.0058,0.0025,-0.39267015,0.62091506,1,1
1_1_1_1_29_0,0.0187,0.0248,0.0133,0.0058,0.0025,-0.39267015,0.62091506,1,1
1_1_1_1_32_0,0.0173,0.0243,0.0123,0.0059,0.0025,-0.35164836,0.6092715,1,1
1_1_1_1_35_0,0.017,0.024,0.0122,0.0052,0.0026,-0.40229884,0.6438356,1,1
1_1_1_1_37_0,0.0171,0.024,0.0116,0.0053,0.0025,-0.37278107,0.63822526,1,1
1_1_1_1_40_0,0.0172,0.0236,0.0121,0.0053,0.0025,-0.3908046,0.633218,1,1
1_1_1_1_49_0,0.0181,0.0244,0.0133,0.0058,0.0025,-0.39267015,0.615894,1,1
1_1_1_1_50_0,0.0172,0.0248,0.0131,0.0058,0.0024,-0.38624337,0.62091506,1,1
1_1_1_1_52_0,0.018,0.0241,0.0126,0.0059,0.0025,-0.36216217,0.6066667,1,1
1_1_1_1_55_0,0.019,0.0244,0.0126,0.0053,0.002,-0.40782124,0.64309764,1,1
1_1_1_1_56_0,0.0167,0.0245,0.0123,0.0052,0.0024,-0.40571427,0.64983165,1,1
1_1_1_1_66_0,0.0183,0.0235,0.012,0.005,0.0023,-0.4117647,0.64912283,1,1
1_1_1_1_70_0,0.0179,0.0233,0.0126,0.0058,0.0025,-0.36956522,0.60137457,1,1
1_1_1_1_73_0,0.0179,0.0239,0.0123,0.0058,0.0023,-0.35911602,0.60942763,1,1
1_1_1_1_74_0,0.0171,0.025,0.0125,0.0057,0.0027,-0.37362638,0.6286645,1,1
1_1_1_1_77_0,0.0175,0.0246,0.0125,0.0051,0.0021,-0.42045453,0.65656567,1,1
1_1_1_1_78_0,0.0167,0.0241,0.0123,0.0054,0.0025,-0.3898305,0.6338983,1,1
1_1_1_1_79_0,0.0179,0.0243,0.0124,0.0052,0.002,-0.4090909,0.6474576,1,1
1_1_1_1_81_0,0.0175,0.0231,0.0124,0.0052,0.0025,-0.4090909,0.6325088,1,1
1_1_1_1_85_0,0.018,0.0241,0.0124,0.0049,0.0025,-0.433526,0.66206896,1,1
1_1_1_1_88_0,0.0167,0.0239,0.0127,0.0049,0.0029,-0.4431818,0.6597222,1,1
1_1_1_1_92_0,0.0169,0.0239,0.0125,0.0058,0.002,-0.36612022,0.60942763,1,1
1_1_1_1_93_0,0.0169,0.0239,0.0125,0.0058,0.002,-0.36612022,0.60942763,1,1
1_1_1_1_94_0,0.0184,0.0234,0.0124,0.0058,0.002,-0.36263737,0.60273975,1,1
1_1_1_1_95_0,0.0182,0.0244,0.0119,0.0054,0.0024,-0.37572256,0.6375839,1,1
1_1_1_1_96_0,0.0167,0.0248,0.0123,0.0051,0.0021,-0.41379312,0.6588629,1,1
1_1_1_1_97_0,0.0167,0.0248,0.0123,0.0051,0.0021,-0.41379312,0.6588629,1,1
1_1_1_1_98_0,0.0169,0.0241,0.0131,0.0051,0.002,-0.43956044,0.65068495,1,1
1_1_1_1_99_0,0.0174,0.0239,0.0128,0.0054,0.0025,-0.4065934,0.63139933,1,1
1_1_1_1_104_0,0.017,0.0231,0.0121,0.0053,0.0022,-0.3908046,0.62676054,1,1
1_1_1_1_107_0,0.017,0.0233,0.0121,0.0049,0.002,-0.42352942,0.6524823,1,1
1_1_1_1_109_0,0.0174,0.0233,0.0126,0.0049,0.0029,-0.44,0.6524823,1,1
1_1_1_1_111_0,0.0183,0.0243,0.013,0.005,0.0021,-0.44444445,0.6587031,1,1
1_1_1_1_112_0,0.0167,0.0234,0.0122,0.0051,0.0022,-0.41040462,0.6421053,1,1
1_1_1_1_114_0,0.0182,0.0235,0.0125,0.005,0.0022,-0.42857143,0.64912283,1,1
1_1_1_1_115_0,0.0182,0.0235,0.0125,0.005,0.0022,-0.42857143,0.64912283,1,1
1_1_1_1_116_0,0.0174,0.0237,0.0117,0.005,0.0023,-0.4011976,0.65156794,1,1
1_1_1_1_117_0,0.0167,0.025,0.012,0.0051,0.0021,-0.40350878,0.6611296,1,1
1_1_1_1_120_0,0.0172,0.0238,0.0117,0.0051,0.0032,-0.39285713,0.64705884,1,1
1_1_1_1_121_0,0.017,0.024,0.0128,0.0054,0.003,-0.4065934,0.63265306,1,1
1_1_1_1_122_0,0.0175,0.0239,0.0128,0.0054,0.0026,-0.4065934,0.63139933,1,1
1_1_1_1_123_0,0.0175,0.0239,0.0128,0.0054,0.0026,-0.4065934,0.63139933,1,1
1_1_1_1_127_0,0.0184,0.0244,0.0123,0.0048,0.0021,-0.4385965,0.6712329,1,1
1_1_1_1_128_0,0.0167,0.0237,0.0123,0.0048,0.0027,-0.4385965,0.6631579,1,1
1_1_1_1_130_0,0.017,0.0231,0.0119,0.0049,0.0029,-0.41666666,0.65,1,1
1_1_1_1_131_0,0.0167,0.0237,0.0123,0.0049,0.0025,-0.43023255,0.6573427,1,1
1_1_1_1_138_0,0.0168,0.0237,0.012,0.0051,0.0021,-0.40350878,0.6458333,1,1
1_1_1_1_143_0,0.0175,0.0232,0.0122,0.0054,0.0029,-0.38636363,0.62237763,1,1
1_1_1_1_144_0,0.0175,0.0232,0.0122,0.0054,0.0029,-0.38636363,0.62237763,1,1
1_1_1_1_146_0,0.0167,0.0236,0.0121,0.0061,0.0027,-0.32967034,0.5892256,1,1
1_1_1_1_147_0,0.0168,0.024,0.0124,0.0048,0.0026,-0.44186047,0.6666667,1,1
1_1_1_1_149_0,0.0167,0.0231,0.0124,0.0048,0.0028,-0.44186047,0.65591395,1,1
1_1_1_1_151_0,0.0175,0.0234,0.0125,0.0049,0.0026,-0.43678162,0.65371025,1,1
1_1_1_1_152_0,0.0178,0.0235,0.0124,0.0049,0.0019,-0.433526,0.6549296,1,1
1_1_1_1_154_0,0.0174,0.023,0.0118,0.0049,0.0023,-0.41317365,0.64874554,1,1
1_1_1_1_155_0,0.0161,0.0239,0.0121,0.0049,0.0023,-0.42352942,0.6597222,1,1
1_1_1_1_159_0,0.0168,0.0235,0.0121,0.0057,0.0027,-0.35955057,0.60958904,1,1
1_1_1_1_160_0,0.0165,0.0239,0.0122,0.0057,0.0027,-0.36312848,0.6148649,1,1
1_1_1_1_161_0,0.0165,0.0239,0.0122,0.0057,0.0027,-0.36312848,0.6148649,1,1
1_1_1_1_163_0,0.0171,0.0239,0.012,0.005,0.0029,-0.4117647,0.65397924,1,1
1_1_1_1_167_0,0.0168,0.0236,0.0128,0.0066,0.0026,-0.31958762,0.5629139,1,1
1_1_1_1_168_0,0.0169,0.0247,0.0125,0.0047,0.0024,-0.45348838,0.6802721,1,1
1_1_1_1_174_0,0.0166,0.0226,0.012,0.0049,0.0023,-0.42011833,0.64363635,1,1
1_1_1_1_175_0,0.0179,0.0232,0.0121,0.0052,0.0029,-0.39884394,0.63380283,1,1
1_1_1_1_177_0,0.017,0.0234,0.0124,0.0057,0.0025,-0.37016574,0.6082474,1,1
1_1_1_1_180_0,0.0166,0.024,0.0125,0.0057,0.003,-0.37362638,0.61616164,1,1
1_1_1_1_183_0,0.0169,0.0236,0.0118,0.0058,0.0027,-0.3409091,0.60544217,1,1
1_1_1_1_184_0,0.0169,0.0232,0.0117,0.0055,0.0024,-0.3604651,0.6167247,1,1
1_1_1_1_187_0,0.0168,0.0233,0.0117,0.0057,0.0025,-0.3448276,0.6068966,1,1
1_1_1_2_1_0,0.0174,0.025,0.0131,0.0053,0.0034,-0.42391303,0.650165,1,1
1_1_1_2_2_0,0.017,0.0232,0.0129,0.0053,0.0034,-0.41758242,0.6280702,1,1
1_1_1_2_4_0,0.0175,0.0248,0.0126,0.0051,0.0031,-0.42372882,0.6588629,1,1
1_1_1_2_10_0,0.0161,0.0243,0.0125,0.0051,0.0024,-0.42045453,0.6530612,1,1
1_1_1_2_16_0,0.0166,0.024,0.0117,0.005,0.0032,-0.4011976,0.6551724,1,1
1_1_1_2_18_0,0.0165,0.0246,0.0127,0.005,0.0035,-0.43502825,0.6621622,1,1
1_1_1_2_19_0,0.0157,0.0239,0.0121,0.0052,0.0035,-0.39884394,0.6426117,1,1
1_1_1_2_20_0,0.0157,0.0239,0.0121,0.0052,0.0035,-0.39884394,0.6426117,1,1
1_1_1_2_22_0,0.017,0.0258,0.0129,0.0057,0.0036,-0.38709676,0.63809526,1,1
1_1_1_2_23_0,0.0166,0.0252,0.0128,0.006,0.0033,-0.3617021,0.61538464,1,1
1_1_1_2_25_0,0.0168,0.0245,0.0132,0.0053,0.0031,-0.42702702,0.6442953,1,1
1_1_1_2_35_0,0.0159,0.0237,0.0123,0.0051,0.0026,-0.41379312,0.6458333,1,1
1_1_1_2_39_0,0.0171,0.0236,0.0123,0.005,0.0029,-0.42196533,0.6503497,1,1
1_1_1_2_40_0,0.0173,0.0245,0.0123,0.005,0.0032,-0.42196533,0.66101694,1,1
1_1_1_2_41_0,0.0166,0.0241,0.0128,0.0049,0.0036,-0.4463277,0.66206896,1,1
1_1_1_2_50_0,0.0173,0.0249,0.013,0.0052,0.0032,-0.42857143,0.65448505,1,1
1_1_1_2_52_0,0.0171,0.0242,0.012,0.0048,0.0032,-0.42857143,0.6689655,1,1
1_1_1_2_53_0,0.0161,0.0244,0.0129,0.0044,0.0031,-0.4913295,0.6944444,1,1
1_1_1_2_55_0,0.0172,0.0237,0.0125,0.0046,0.003,-0.4619883,0.6749117,1,1
1_1_1_2_56_0,0.0161,0.0234,0.0118,0.0051,0.0024,-0.3964497,0.6421053,1,1
1_1_1_2_58_0,0.0165,0.0234,0.0116,0.005,0.002,-0.39759037,0.64788735,1,1
1_1_1_2_59_0,0.0158,0.0242,0.0117,0.0053,0.0027,-0.3764706,0.640678,1,1
1_1_1_2_60_0,0.016,0.0247,0.0126,0.0055,0.0031,-0.3922652,0.6357616,1,1
1_1_1_2_65_0,0.0173,0.0247,0.0129,0.0049,0.0036,-0.4494382,0.6689189,1,1
1_1_1_2_66_0,0.0165,0.0252,0.0125,0.0051,0.0036,-0.42045453,0.6633663,1,1
1_1_1_2_67_0,0.0165,0.0252,0.0125,0.0051,0.0036,-0.42045453,0.6633663,1,1
1_1_1_2_68_0,0.017,0.0252,0.0136,0.0065,0.0031,-0.35323384,0.5899054,1,1
1_1_1_2_70_0,0.0178,0.0255,0.0126,0.006,0.0031,-0.3548387,0.61904764,1,1
1_1_1_2_71_0,0.018,0.0267,0.0131,0.0052,0.0026,-0.431694,0.6739812,1,1
1_1_1_2_76_0,0.0166,0.0238,0.0124,0.0046,0.0031,-0.45882353,0.6760563,1,1
1_1_1_2_77_0,0.0166,0.0238,0.0124,0.0046,0.0031,-0.45882353,0.6760563,1,1
1_1_1_2_83_0,0.0158,0.0248,0.0124,0.005,0.0029,-0.42528737,0.66442955,1,1
1_1_1_2_89_0,0.0174,0.0249,0.0124,0.0048,0.0035,-0.44186047,0.67676765,1,1
1_1_1_2_90_0,0.0174,0.0249,0.0124,0.0048,0.0035,-0.44186047,0.67676765,1,1
1_1_1_2_91_0,0.0167,0.0256,0.0121,0.0051,0.0036,-0.40697673,0.66775244,1,1
1_1_1_2_95_0,0.0174,0.0251,0.013,0.0051,0.0031,-0.4364641,0.66225165,1,1
1_1_1_2_97_0,0.0179,0.0243,0.0125,0.005,0.0027,-0.42857143,0.6587031,1,1
1_1_1_2_99_0,0.0178,0.0251,0.0122,0.0054,0.0026,-0.38636363,0.6459016,1,1
1_1_1_2_102_0,0.0175,0.0231,0.0122,0.0043,0.0026,-0.47878787,0.68613136,1,1
1_1_1_2_107_0,0.0165,0.0247,0.0118,0.0043,0.0031,-0.46583852,0.7034483,1,1
1_1_1_2_108_0,0.0164,0.0241,0.0129,0.0043,0.0031,-0.5,0.6971831,1,1
1_1_1_2_110_0,0.0174,0.0245,0.0122,0.0048,0.0031,-0.43529412,0.67235494,1,1
1_1_1_2_112_0,0.0177,0.0245,0.0127,0.0047,0.0036,-0.4597701,0.67808217,1,1
1_1_1_2_113_0,0.0177,0.0245,0.0127,0.0047,0.0036,-0.4597701,0.67808217,1,1
1_1_1_2_115_0,0.0176,0.0255,0.0137,0.0063,0.0037,-0.37,0.6037736,1,1
1_1_1_2_116_0,0.0176,0.0254,0.0133,0.0055,0.0037,-0.41489363,0.6440129,1,1
1_1_1_2_118_0,0.0163,0.0247,0.0126,0.0045,0.0027,-0.47368422,0.6917808,1,1
1_1_1_2_119_0,0.0163,0.0245,0.0125,0.0043,0.0032,-0.48809522,0.7013889,1,1
1_1_1_2_124_0,0.0175,0.0247,0.0128,0.0053,0.0026,-0.41436464,0.64666665,1,1
1_1_1_2_129_0,0.0176,0.0242,0.0123,0.0041,0.0022,-0.5,0.71024734,1,1
1_1_1_2_133_0,0.0173,0.0237,0.0124,0.0052,0.003,-0.4090909,0.6401384,1,1
1_1_1_2_134_0,0.0176,0.0247,0.0129,0.0047,0.0025,-0.4659091,0.6802721,1,1
1_1_1_2_136_0,0.0158,0.0245,0.0126,0.0046,0.0035,-0.4651163,0.6838488,1,1
1_1_1_2_137_0,0.0158,0.0245,0.0126,0.0046,0.0035,-0.4651163,0.6838488,1,1
1_1_1_2_138_0,0.0177,0.0247,0.0126,0.0055,0.0036,-0.3922652,0.6357616,1,1
1_1_1_2_140_0,0.0174,0.0255,0.0132,0.0045,0.0031,-0.4915254,0.7,1,1
1_1_1_2_141_0,0.0172,0.0251,0.0124,0.0043,0.0031,-0.48502994,0.707483,1,1
1_1_1_2_145_0,0.0181,0.0243,0.0121,0.0052,0.0026,-0.39884394,0.6474576,1,1
1_1_1_2_146_0,0.017,0.0251,0.013,0.0054,0.0026,-0.41304347,0.6459016,1,1
1_1_1_2_149_0,0.0173,0.0251,0.0128,0.0048,0.0026,-0.45454547,0.67892975,1,1
1_1_1_2_155_0,0.0166,0.0242,0.0127,0.0055,0.0031,-0.3956044,0.6296296,1,1
1_1_1_2_161_0,0.0177,0.0256,0.013,0.0055,0.0032,-0.4054054,0.6463022,1,1
1_1_1_2_164_0,0.0168,0.0255,0.0123,0.0045,0.0033,-0.4642857,0.7,1,1
1_1_1_2_165_0,0.0164,0.024,0.012,0.0042,0.0024,-0.4814815,0.70212764,1,1
1_1_1_2_171_0,0.0173,0.0247,0.0118,0.0045,0.0026,-0.44785276,0.6917808,1,1
1_1_1_2_172_0,0.0181,0.0237,0.0123,0.004,0.0026,-0.5092025,0.71119136,1,1
1_1_1_2_176_0,0.0168,0.0245,0.0118,0.0047,0.0023,-0.43030304,0.67808217,1,1
1_1_1_2_179_0,0.0174,0.0246,0.0125,0.0054,0.0025,-0.39664805,0.64,1,1
1_1_1_2_180_0,0.0167,0.0247,0.013,0.0052,0.0029,-0.42857143,0.65217394,1,1
1_1_1_2_184_0,0.0186,0.0258,0.0136,0.0054,0.0025,-0.43157893,0.65384614,1,1
1_1_1_2_185_0,0.0186,0.0258,0.0136,0.0054,0.0025,-0.43157893,0.65384614,1,1
1_1_1_2_187_0,0.0173,0.025,0.0132,0.0053,0.0032,-0.42702702,0.650165,1,1
1_1_1_2_194_0,0.0172,0.0241,0.0122,0.0044,0.0026,-0.4698795,0.6912281,1,1
1_1_1_2_196_0,0.0159,0.024,0.0125,0.004,0.0026,-0.5151515,0.71428573,1,1
1_1_1_2_199_0,0.0169,0.0244,0.0118,0.0047,0.002,-0.43030304,0.67697597,1,1
1_1_1_2_200_0,0.0161,0.0249,0.0122,0.0047,0.0024,-0.44378698,0.6824324,1,1
1_1_1_2_211_0,0.0182,0.0257,0.0129,0.0052,0.0032,-0.42541435,0.6634304,1,1
1_1_1_2_214_0,0.0175,0.0246,0.0126,0.0048,0.0023,-0.44827586,0.67346936,1,1
1_1_1_2_215_0,0.0169,0.0244,0.0121,0.0042,0.003,-0.48466256,0.7062937,1,1
1_1_1_2_216_0,0.0172,0.024,0.0132,0.0044,0.0029,-0.5,0.69014084,1,1
1_1_1_2_218_0,0.0177,0.0252,0.0121,0.0044,0.0026,-0.46666667,0.7027027,1,1
1_1_1_2_219_0,0.0175,0.024,0.0123,0.0041,0.0026,-0.5,0.7081851,1,1
1_1_1_2_221_0,0.0164,0.0251,0.0127,0.0039,0.0026,-0.5301205,0.73103446,1,1
1_1_1_2_223_0,0.0173,0.0244,0.0125,0.0047,0.0023,-0.45348838,0.67697597,1,1
1_1_1_2_225_0,0.0176,0.0247,0.0117,0.0053,0.0027,-0.3764706,0.64666665,1,1
1_1_1_2_226_0,0.0176,0.0247,0.0117,0.0053,0.0027,-0.3764706,0.64666665,1,1
1_1_1_2_229_0,0.0172,0.0249,0.0124,0.0044,0.0031,-0.47619048,0.6996587,1,1
1_1_1_2_231_0,0.0174,0.0245,0.0128,0.005,0.0021,-0.43820226,0.66101694,1,1
1_1_1_2_233_0,0.0169,0.0246,0.0131,0.0052,0.0022,-0.431694,0.6510067,1,1
1_1_1_2_236_0,0.0182,0.0257,0.0125,0.0049,0.0032,-0.43678162,0.6797386,1,1
1_1_1_2_237_0,0.0174,0.025,0.0125,0.0047,0.0027,-0.45348838,0.68350166,1,1
1_1_1_2_238_0,0.0178,0.0252,0.0132,0.0048,0.003,-0.46666667,0.68,1,1
1_1_1_2_240_0,0.0179,0.0249,0.0128,0.0043,0.0031,-0.49707603,0.70547944,1,1
1_1_1_2_242_0,0.0174,0.0247,0.0124,0.0045,0.0026,-0.46745563,0.6917808,1,1
1_1_1_2_245_0,0.0178,0.0248,0.0127,0.0044,0.0021,-0.4853801,0.69863015,1,1
1_1_1_2_252_0,0.0169,0.0255,0.0127,0.0043,0.003,-0.49411765,0.7114094,1,1
1_1_1_2_253_0,0.0171,0.0249,0.0127,0.0042,0.0022,-0.5029586,0.7113402,1,1
1_1_1_2_254_0,0.0178,0.0258,0.0127,0.0044,0.0021,-0.4853801,0.7086093,1,1
1_1_1_2_256_0,0.0178,0.0254,0.0129,0.0045,0.0021,-0.4827586,0.69899666,1,1
1_1_1_2_257_0,0.017,0.0256,0.0135,0.0052,0.0024,-0.44385028,0.66233766,1,1
1_1_1_2_261_0,0.0184,0.0249,0.0135,0.0046,0.0026,-0.49171272,0.68813556,1,1
1_1_1_2_264_0,0.0179,0.0247,0.0134,0.0043,0.0032,-0.5141243,0.7034483,1,1
1_1_1_2_266_0,0.0176,0.0256,0.0133,0.0043,0.0025,-0.5113636,0.71237457,1,1
1_1_1_2_268_0,0.0178,0.0243,0.0126,0.0038,0.0026,-0.5365854,0.72953737,1,1
1_1_1_2_271_0,0.0175,0.0247,0.0126,0.0046,0.0024,-0.4651163,0.68600684,1,1
1_1_1_2_272_0,0.0175,0.0247,0.0126,0.0046,0.0024,-0.4651163,0.68600684,1,1
1_1_1_2_274_0,0.0175,0.0253,0.0132,0.0052,0.003,-0.4347826,0.6590164,1,1
1_1_1_2_275_0,0.0173,0.0246,0.0119,0.0045,0.0033,-0.4512195,0.69072163,1,1
1_1_1_2_276_0,0.018,0.0245,0.0132,0.0041,0.0027,-0.5260116,0.7132867,1,1
1_1_1_2_279_0,0.0186,0.0256,0.0128,0.0043,0.0026,-0.49707603,0.71237457,1,1
1_1_1_2_285_0,0.0188,0.0244,0.0143,0.0046,0.0026,-0.5132275,0.6827586,1,1
1_1_1_2_286_0,0.0184,0.0248,0.0124,0.0041,0.003,-0.5030303,0.716263,1,1
1_1_1_2_288_0,0.0179,0.0252,0.0133,0.0041,0.0032,-0.52873564,0.7201365,1,1
1_1_1_2_289_0,0.0176,0.0251,0.0124,0.0045,0.003,-0.46745563,0.6959459,1,1
1_1_1_2_290_0,0.0171,0.0246,0.0133,0.0038,0.0028,-0.5555556,0.73239434,1,1
1_1_1_2_291_0,0.0171,0.0246,0.0133,0.0038,0.0028,-0.5555556,0.73239434,1,1
1_1_1_2_292_0,0.0179,0.024,0.013,0.0037,0.0027,-0.55688626,0.732852,1,1
1_1_1_2_294_0,0.0174,0.026,0.0127,0.0044,0.0021,-0.4853801,0.7105263,1,1
1_1_1_2_297_0,0.0185,0.0241,0.0135,0.0051,0.0031,-0.4516129,0.65068495,1,1
1_1_1_2_298_0,0.0182,0.0243,0.0123,0.0051,0.0032,-0.41379312,0.6530612,1,1
1_1_1_3_3_0,0.0107,0.0146,0.0084,0.0058,0.0036,-0.18309858,0.43137255,1,1
1_1_1_3_6_0,0.009,0.0148,0.0086,0.007,0.0048,-0.102564104,0.35779816,1,1
1_1_1_3_8_0,0.0092,0.0137,0.0078,0.0063,0.0046,-0.10638298,0.37,1,1
1_1_1_3_10_0,0.009,0.0137,0.0078,0.006,0.0049,-0.13043478,0.39086294,1,1
1_1_1_3_13_0,0.0096,0.0134,0.0075,0.0065,0.0049,-0.071428575,0.34673366,1,1
1_1_1_3_18_0,0.0101,0.0145,0.0083,0.0063,0.0046,-0.1369863,0.39423078,1,1
1_1_1_3_21_0,0.009,0.0144,0.0078,0.0066,0.0048,-0.083333336,0.37142858,1,1
1_1_1_3_24_0,0.0085,0.0141,0.0079,0.0072,0.0045,-0.046357617,0.32394367,1,1
1_1_1_3_26_0,0.009,0.0138,0.0084,0.0071,0.0038,-0.08387097,0.32057416,1,1
1_1_1_3_28_0,0.0098,0.0151,0.0089,0.0076,0.005,-0.07878788,0.33039647,1,1
1_1_1_3_29_0,0.0103,0.0146,0.009,0.0078,0.0045,-0.071428575,0.30357143,1,1
1_1_1_3_33_0,0.0096,0.0146,0.0081,0.0067,0.0042,-0.0945946,0.37089202,1,1
1_1_1_3_36_0,0.0092,0.0142,0.0079,0.0071,0.0053,-0.053333335,0.33333334,1,1
1_1_1_3_39_0,0.0082,0.0143,0.0078,0.007,0.0045,-0.054054055,0.342723,1,1
1_1_1_3_40_0,0.0084,0.0142,0.0077,0.0069,0.0041,-0.05479452,0.34597155,1,1
1_1_1_3_42_0,0.0096,0.0145,0.008,0.0074,0.0049,-0.038961038,0.3242009,1,1
1_1_1_3_43_0,0.0093,0.0148,0.008,0.0073,0.0049,-0.045751635,0.33936653,1,1
1_1_1_3_48_0,0.0095,0.0146,0.0083,0.0065,0.004,-0.12162162,0.38388625,1,1
1_1_1_3_49_0,0.0084,0.0152,0.0076,0.007,0.0034,-0.04109589,0.36936936,1,1
1_1_1_3_53_0,0.0096,0.0145,0.0081,0.0063,0.0044,-0.125,0.39423078,1,1
1_1_1_3_55_0,0.009,0.0139,0.0077,0.0073,0.0046,-0.026666667,0.31132075,1,1
