system:index,B2,B3,B4,B8,B11,ndvi,ndwi,classification,landcover
1_2_40_620_0,0.0218,0.036,0.0243,0.1859,0.0999,0.7687916,-0.67552954,2,2
1_2_40_622_0,0.0242,0.0412,0.0266,0.2118,0.1128,0.77684563,-0.6743083,2,2
1_2_40_623_0,0.0242,0.0412,0.0266,0.2118,0.1128,0.77684563,-0.6743083,2,2
1_2_40_629_0,0.0203,0.0356,0.024,0.1884,0.1136,0.7740113,-0.68214285,2,2
1_2_40_631_0,0.0199,0.0363,0.0215,0.2306,0.0892,0.8294328,-0.727988,2,2
1_2_40_634_0,0.0191,0.0326,0.0219,0.1906,0.0876,0.79388237,-0.7078853,2,2
1_2_40_636_0,0.0207,0.0358,0.0248,0.1951,0.0991,0.7744429,-0.68990904,2,2
1_2_40_640_0,0.019,0.0338,0.0197,0.2369,0.1003,0.8464536,-0.75027704,2,2
1_2_40_642_0,0.0214,0.038,0.0219,0.2559,0.1106,0.8423326,-0.74140865,2,2
1_2_40_643_0,0.0209,0.0411,0.022,0.244,0.1135,0.83458644,-0.7116801,2,2
1_2_40_645_0,0.0193,0.0377,0.0224,0.2559,0.113,0.83902264,-0.743188,2,2
1_2_40_647_0,0.0202,0.0436,0.0221,0.2878,0.1209,0.85737336,-0.73687387,2,2
1_2_40_652_0,0.02,0.0348,0.023,0.2153,0.0966,0.806966,-0.72171134,2,2
1_2_40_654_0,0.0177,0.0328,0.0199,0.2244,0.0955,0.83708555,-0.7449456,2,2
1_2_40_655_0,0.0206,0.0396,0.0226,0.2472,0.0959,0.8324685,-0.72384936,2,2
1_2_40_662_0,0.0281,0.0458,0.0384,0.209,0.1326,0.68957156,-0.64050233,2,2
1_2_40_664_0,0.0198,0.0358,0.0235,0.2045,0.1142,0.79385966,-0.7020391,2,2
1_2_40_666_0,0.0149,0.0301,0.0189,0.1982,0.0882,0.82588667,-0.73631185,2,2
1_2_40_670_0,0.0203,0.0337,0.0211,0.1847,0.0874,0.79494655,-0.69139194,2,2
1_2_40_674_0,0.0193,0.0354,0.0232,0.2177,0.1062,0.80738896,-0.72026867,2,2
1_2_40_676_0,0.0218,0.0355,0.0246,0.2069,0.1004,0.787473,-0.7070957,2,2
1_2_40_677_0,0.0218,0.0355,0.0246,0.2069,0.1004,0.787473,-0.7070957,2,2
1_2_40_678_0,0.0189,0.0359,0.0217,0.2322,0.1075,0.8290666,-0.7321895,2,2
1_2_40_679_0,0.0215,0.0463,0.0229,0.2994,0.123,0.8578964,-0.7321377,2,2
1_2_40_682_0,0.021,0.0482,0.0225,0.3242,0.1318,0.8702048,-0.7411386,2,2
1_2_40_683_0,0.023,0.0484,0.0234,0.2973,0.1266,0.85406923,-0.7199884,2,2
1_2_40_687_0,0.0178,0.0354,0.0203,0.247,0.1029,0.84811074,-0.7492918,2,2
1_2_40_688_0,0.0181,0.0337,0.0199,0.2394,0.0951,0.8465098,-0.7532039,2,2
1_2_40_689_0,0.0183,0.031,0.0177,0.2229,0.0946,0.85286784,-0.75580937,2,2
1_2_40_690_0,0.0183,0.031,0.0177,0.2229,0.0946,0.85286784,-0.75580937,2,2
1_2_40_691_0,0.0196,0.0357,0.0217,0.2068,0.0961,0.8100656,-0.705567,2,2
1_2_40_693_0,0.025,0.0428,0.0315,0.2117,0.1194,0.7409539,-0.6636542,2,2
1_2_40_694_0,0.025,0.0428,0.0315,0.2117,0.1194,0.7409539,-0.6636542,2,2
1_2_40_696_0,0.0293,0.0426,0.0353,0.1916,0.1342,0.6888497,-0.63620836,2,2
1_2_40_700_0,0.0192,0.0321,0.0213,0.2356,0.0984,0.8341767,-0.7601793,2,2
1_2_40_701_0,0.0185,0.033,0.021,0.2322,0.0977,0.8341232,-0.75113124,2,2
